ID,P365
RV143,211.15
YB821,194.81
QA008,186.59
WT997,192.42
IT185,202.37
PD544,189.5
SL754,197.18
MC315,160.95
UI109,212.6
JB227,228.39
HE399,191.42
JK883,170.94
TQ441,207.77
FF080,188.72
BL427,172.37
SQ673,139.59
OW450,194.37
JM856,201.57
IA196,193.69
LB439,168.48
KG584,199.54
CC140,192.68
FB818,182.44
AY646,188.93
CW167,184.71
GC736,193.84
FU476,204.04
FW786,189.15
GY828,197.02
IO067,217.84
SW680,193.94
HD704,226.05
HI996,217.19
WL013,185.61
DB513,179.82
NT758,203.12
RV335,233.8
UI524,202.84
JN167,184.74
MW483,176.11
JF890,201.28
KC787,178.1
HS788,201.49
OZ409,169.64
OC100,182.69
NA189,195.56
IR831,190.36
MY453,209.7
ES153,213.17
GX375,184.96
